Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
Knight Archtitect LLC,59 Drury Ln,Brooksville,ME,04617-3822,UNITED STATES,www.knightarchitect.com
Knight Associates,503 Louisiana Ave,Bogalusa,LA,70427-3324,UNITED STATES,
Knight Associates Inc.,PO Box 803,Blue Hill,ME,04614-0803,UNITED STATES,www.knightarchitect.com
"Knight Wagner Architecture, Inc.",PO Box 549,Santa Rosa,CA,95402-0549,UNITED STATES,
Knit,16771 NE 80th ST Ste 110,Redmond,WA,98052-3959,UNITED STATES,www.sh-architecture.com
Knit,"7250 Peak Dr Ste 216, Suite 216",Las Vegas,NV,89128-9029,UNITED STATES,www.sh-architecture.com
Knit,868 S Mcclelland St Ste 2,Salt Lake City,UT,84102-3750,UNITED STATES,knitstudios.com
Knock Architecture and Design,"1801 Gough St , Apt 405",San Francisco,CA,94109-3301,UNITED STATES,www.knock-ad.com
"Knodel Associate Architects AIA, PA",257 State St,Mobile,AL,36603-6473,UNITED STATES,www.knodelarchitects.com
Knop Architects,319 SW 5th ST Ste 103,Des Moines,IA,50309-4635,UNITED STATES,
Knothe & Bruce Architects,7601 University Ave Ste 201,Middleton,WI,53562-5413,UNITED STATES,www.knothebruce.com
"Knowles Architecture, PC",11 Mott Ln,Brookhaven,NY,11719-9620,UNITED STATES,www.knowlesarchitecture.com
Knowlton Architects,"1601 N Sepulveda Blvd , # 722",Manhattan Beach,CA,90266-5111,UNITED STATES,www.theknowltongroup.net
Knowlton Fernald Architect,"425 Old Newport Blvd , Ste B",Newport Beach,CA,92663-4251,UNITED STATES,
"Knu Design, LLC",20505 Top Ridge Dr,Boyds,MD,20841-8921,UNITED STATES,www.knu.design
"Knutsen Design, PA",2417 Bryant Ave S,Minneapolis,MN,55405-2928,UNITED STATES,
Knutson Architecture,2231 H St,Sacramento,CA,95816-4023,UNITED STATES,www.knutsonarchitecture.com
Ko Architects,"900 High St , Ste 1",Palo Alto,CA,94301-2422,UNITED STATES,www.koarch.com
"Koa Architects, LLC",65-1227 Opelo Rd,Kamuela,HI,96743-8401,UNITED STATES,www.koaarchitects.com
"KOAL, PLLC","42 Gilford E. Drive, Suite 4",Gilford,NH,03249,UNITED STATES,www.koalpllc.com
Koami Architecture,66 Franklin St Suite 300,Oakland,CA,94607,UNITED STATES,koamiarchitect.com
"Kobalt Brands, Inc.",3182 Campus Drive PMB414,San Mateo,CA,94403,UNITED STATES,www.kraido.com
Kobi Karp,2915 Biscayne Blvd Ste 200,Miami,FL,33137-4197,UNITED STATES,www.kobikarp.com
KOBI KARP ARCHITECTURE AND INTERIOR DESIGN,571 NW 28th St.,Miami,FL,33127,UNITED STATES,www.kobikarp.com
"Koble Creative, Architecture LLC","2117 NE Oregon
Suite #301",Portland,OR,97232-2797,UNITED STATES,www.koblecreative.com
Koch and Wilson Architects,1100 Jackson Ave,New Orleans,LA,70130-5635,UNITED STATES,www.kochandwilsonarchitects.com
Koch Hazard Architects,"431 N Phillips Ave , Ste 200",Sioux Falls,SD,57104-5933,UNITED STATES,www.kochhazard.com/
"Koch Hazard Architects, Inc.","431 N Phillips Ave , Ste 200",Sioux Falls,SD,57104-5933,UNITED STATES,www.kochhazard.com
Koch+Andres sa,3257 Iowa St,Costa Mesa,CA,92626-2004,UNITED STATES,www.ka-architecture.org
Kocubinski Architects,6 Northfield Ct,Lambertville,NJ,08530-1039,UNITED STATES,
KoDA,350 Lincoln Rd,Miami Beach,FL,33139-3154,UNITED STATES,
Kodama Diseno Architects,"570 10th St , Ste 2",Oakland,CA,94607-4038,UNITED STATES,www.kodamadiseno.com
"Kodet Architectural Group, Ltd.",15 Groveland Ter,Minneapolis,MN,55403-1154,UNITED STATES,www.kodet.com
