Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
Annex 5/Architects,600 W Fulton St,Chicago,IL,60661-1259,UNITED STATES,
ANNIE BARRETT,158 14th St,Brooklyn,NY,11215-4707,UNITED STATES,
"Annum Architects, Inc.","40 Broad Street, Suite 102",Boston,MA,02109,UNITED STATES,www.annumarchiteacts.com
"Annum Architects, Inc.","40 Broad Street, Suite 102",Boston,MA,02109,UNITED STATES,www.annbeha.com
"Annum Architects, Inc.","40 Broad Street, Suite 102",Boston,MA,02109,UNITED STATES,annbeha.com
"ANOVA Nexus Architects, Inc.",778 Pacific St,Placerville,CA,95667-6481,UNITED STATES,
ANPH Inc Architects & Planners,"5499 Glen Lakes Dr , Ste 110",Dallas,TX,75231-4383,UNITED STATES,www.anpharchitects.com
Anselmo S. Genovese Architect P.C.,17 Saint Marys Ave,Staten Island,NY,10305-1812,UNITED STATES,www.asgarchitect.com
Anser Advisory,2420 Lakemont Ave Ste 450,Orlando,FL,32814-6165,UNITED STATES,www.anseradvisory.com
Anshen + Allen + Rothman,711 Atlantic Ave,Boston,MA,02111-2809,UNITED STATES,
"Anshen + Allen, Architects",932 Indigo Ct,Hanover Park,IL,60133-3675,UNITED STATES,
Anshen+Allen part of Stantec Architecture,448 W Nationwide Blvd,Columbus,OH,43215-2375,UNITED STATES,
Antenora Architects LLP,"3410 Far West Blvd , Ste 330",Austin,TX,78731-3273,UNITED STATES,www.antenoraarchitects.com
"Anthony Alofsin, Architect","400 East 52nd Street, Apt. 17B",New York,NY,10022,UNITED STATES,www.wrightandnewyork.com
Anthony C. Pings & Associates,"6121 N Thesta St , Ste 301",Fresno,CA,93710-5294,UNITED STATES,www.pings.com
Anthony Cohn Architect,"345 E 77th St , Apt 3G",New York,NY,10075-2269,UNITED STATES,www.anthonycohn.com
Anthony Company,11012 Ventura Blvd,Studio City,CA,91604-3546,UNITED STATES,
Anthony Cucich Architect,3702 Astoria Blvd,Astoria,NY,11103-3666,UNITED STATES,www.a-cucich.com
Anthony Cucich-R.A.,3702 Astoria Blvd,Astoria,NY,11103-3666,UNITED STATES,www.a-cucich.com
Anthony Duncan Architects,4527 Virginia Ave # Storefront,Saint Louis,MO,63111-1513,UNITED STATES,www.duncanarchitecture.com
"Anthony F. Bultman, IV, Architect",PO Box 4688,Covington,LA,70434-4688,UNITED STATES,
Anthony H. Visco Jr.  Architects,441 Market Street,Williamsport,PA,17701,UNITED STATES,ahvarchitects.com
Anthony H. Visco Jr. Registered Architec,"800 W 4th St , Ste 201",Williamsport,PA,17701-5895,UNITED STATES,www.ahvarchitects.com
Anthony Hatziioannou Architect P.C.,471 N Broadway Ste 216,Jericho,NY,11753-2106,UNITED STATES,
Anthony J. DiGuiseppe Architect PC,"1385 York Ave , Apt 3A",New York,NY,10021-3911,UNITED STATES,www.diguiseppe.com
"Anthony J. Gendusa, Architect",712 N Alexander St,New Orleans,LA,70119-4514,UNITED STATES,
Anthony J. Mazza AIA Architects & Planners P.A.,"134 5th Ave , Ste 103",Indialantic,FL,32903-3133,UNITED STATES,
"Anthony J. Musso, AIA, Architect",181 Main St,Cold Spring Harbor,NY,11724-1418,UNITED STATES,www.ajmarchitect.com
"Anthony J. Vallee, Architect",58 Camp Creek Rd S,Panama City Beach,FL,32461-7037,UNITED STATES,www.anthonyvallee.com
Anthony Law Architect,132 Canner St,New Haven,CT,06511-2202,UNITED STATES,
"Anthony M. Grisafi, Architect",452 W 36th St,New York,NY,10018-6312,UNITED STATES,
Anthony Masciarelli Architects,"77 Glenbrook Rd , Apt 105",Stamford,CT,06902-2925,UNITED STATES,
Anthony Minichetti Architect LLC,777 North Street,Greenwich,CT,06831,UNITED STATES,www.amarchitectllc.com
"Anthony Morali Architect, PLLC","197 Grand St , Ste 5N",New York,NY,10013-6106,UNITED STATES,moraliarchitecture.com/index.htm
Anthony Paskevich and Associates,1708 Euclid Ave,Cleveland,OH,44115-2106,UNITED STATES,www.paskevich.com
Anthony R. Anderson Architect,"606 N Larchmont Blvd , Ste 201",Los Angeles,CA,90004-1309,UNITED STATES,
"Anthony S. DiProperzio, AIA Architects","499 Jericho Tpke , Ste 202",Mineola,NY,11501-1147,UNITED STATES,www.diproperzio.com
Anthony Szekalski Architect,12 Sunset Rd,Bay Shore,NY,11706-7817,UNITED STATES,
Anthony Tumminello Architect LLC,21635 N 44th Pl,Phoenix,AZ,85050-6951,UNITED STATES,
Anthony Vermandois Architect,68 Union St,Sag Harbor,NY,11963-4434,UNITED STATES,www.anthonyvermandois.com
Anthony Wilder Design,"7913 MacArthur Blvd , Ste 200",Cabin John,MD,20818-1605,UNITED STATES,www.anthonywilder.com
"Anthony X. Ching AIA, Inc. Architect",129 Kaiolohia Way,Honolulu,HI,96825-1517,UNITED STATES,
Anthrotects Architects,"2121 Wisconsin Ave NW , Ste 310",Washington,DC,20007-2270,UNITED STATES,
"Antinozzi Associates, PC",271 Fairfield Ave,Bridgeport,CT,06604-4207,UNITED STATES,antinozzi.com
Antoine Predock Architect PC,300 12th St NW,Albuquerque,NM,87102-1818,UNITED STATES,www.predock.com
"Anton Johs, AIA",1123 Park View Dr,Covina,CA,91724-3748,UNITED STATES,
"Antonio DiMambro + Associates, Inc.","75 Kneeland St , Ste 706",Boston,MA,02111-1906,UNITED STATES,www.dimambro.com
Antonio Gomes Architect,"77 Pond Ave , Apt 1407",Brookline,MA,02445-7115,UNITED STATES,www.gomesarchitecture.com
Antonio Suarez-Garcia AIA Architect,PO Box 190486,San Juan,PR,00919-0486,UNITED STATES,
Antoyan Architecture,5693 N. Pleasant Ave.,Fresno,CA,93711,UNITED STATES,www.antoyanarchitecture.com
